,geolocation_zip_code_prefix,geolocation_city,geolocation_state,geolocation_lat,geolocation_lng,geometry
0,1001,sao paulo,SP,-23.550214794782608,-46.63401877782608,POINT (-46.63401877782608 -23.55021479478261)
1,1001,são paulo,SP,-23.54999798,-46.6340602,POINT (-46.6340602 -23.54999798)
2,1002,sao paulo,SP,-23.548437767500005,-46.635129161666676,POINT (-46.63512916166668 -23.5484377675)
3,1002,são paulo,SP,-23.54464134,-46.63317979,POINT (-46.63317979 -23.54464134)
4,1003,sao paulo,SP,-23.548988128124996,-46.635785515,POINT (-46.635785515 -23.548988128125)
5,1003,são paulo,SP,-23.54908326,-46.63486401,POINT (-46.63486401 -23.54908326)
6,1004,sao paulo,SP,-23.549812740952383,-46.634772599999984,POINT (-46.63477259999998 -23.54981274095238)
7,1004,são paulo,SP,-23.54950697,-46.63442817,POINT (-46.63442817 -23.54950697)
8,1005,sao paulo,SP,-23.549419344782613,-46.63687812782609,POINT (-46.63687812782609 -23.54941934478261)
9,1005,são paulo,SP,-23.54988003,-46.63506341,POINT (-46.63506341 -23.54988003)
10,1006,sao paulo,SP,-23.5500748825,-46.636078375,POINT (-46.636078375 -23.5500748825)
11,1006,são paulo,SP,-23.55031722,-46.63660364,POINT (-46.63660364 -23.55031722)
12,1007,sao paulo,SP,-23.550212530454544,-46.63709962045455,POINT (-46.63709962045455 -23.55021253045454)
13,1007,são paulo,SP,-23.5491314,-46.63808656,POINT (-46.63808656 -23.5491314)
14,1008,sao paulo,SP,-23.545867630666667,-46.63580515533332,POINT (-46.63580515533332 -23.54586763066667)
15,1008,são paulo,SP,-23.54801354,-46.63709743,POINT (-46.63709743 -23.54801354)
16,1009,sao paulo,SP,-23.546760306470592,-46.63645516558821,POINT (-46.63645516558821 -23.54676030647059)
17,1009,são paulo,SP,-23.547199002857138,-46.63666327142857,POINT (-46.63666327142857 -23.54719900285714)
18,1010,sao paulo,SP,-23.54630605529412,-46.635173390588236,POINT (-46.63517339058824 -23.54630605529412)
19,1010,são paulo,SP,-23.54780696,-46.63612182,POINT (-46.63612182 -23.54780696)
20,1011,sao paulo,SP,-23.546959972352937,-46.63561380647061,POINT (-46.63561380647061 -23.54695997235294)
21,1011,são paulo,SP,-23.54669049,-46.63544696,POINT (-46.63544696 -23.54669049)
22,1012,sao paulo,SP,-23.547839892857144,-46.63483352928571,POINT (-46.63483352928571 -23.54783989285714)
23,1012,são paulo,SP,-23.547555653333333,-46.634977893333335,POINT (-46.63497789333334 -23.54755565333333)
24,1013,sao paulo,SP,-23.547101617222225,-46.63424402555555,POINT (-46.63424402555555 -23.54710161722222)
25,1013,são paulo,SP,-23.547505725,-46.63416178,POINT (-46.63416178 -23.547505725)
26,1014,sao paulo,SP,-23.5459381805,-46.63361728225002,POINT (-46.63361728225002 -23.5459381805)
27,1014,são paulo,SP,-23.545840306428573,-46.63360991071428,POINT (-46.63360991071428 -23.54584030642857)
28,1015,sao paulo,SP,-23.54745428,-46.631833424444444,POINT (-46.63183342444444 -23.54745428)
29,1015,são paulo,SP,-23.54956899,-46.62908488,POINT (-46.62908488 -23.54956899)
30,1016,sao paulo,SP,-23.548933965454538,-46.63235213272726,POINT (-46.63235213272726 -23.54893396545454)
31,1016,são paulo,SP,-23.54944327,-46.632349700000006,POINT (-46.63234970000001 -23.54944327)
32,1017,sao paulo,SP,-23.54947809222222,-46.63105612861113,POINT (-46.63105612861113 -23.54947809222222)
33,1017,são paulo,SP,-23.549914174,-46.630791408,POINT (-46.630791408 -23.549914174)
34,1018,sao paulo,SP,-23.55075500142857,-46.63239207714286,POINT (-46.63239207714286 -23.55075500142857)
35,1018,são paulo,SP,-23.55214315,-46.63270721,POINT (-46.63270721 -23.55214315)
